Juro,London,https://www.juro.io/
Enki,London,http://enki.com/
hackajob,London,http://www.hackajob.co/
Giant Swarm,Cologne,http://giantswarm.io/
Wrapp,Stockholm,https://www.wrapp.com/
Mapillary,Malmö,https://www.mapillary.com/
Nutmeg,London,http://nutmeg.com/
Holidog,San Francisco,http://www.holidog.com/
GoCardless,London,https://gocardless.com/
Amplitude,San Francisco,https://amplitude.com/
Peak,London,http://www.peak.net/
Algolia,San Francisco,https://www.algolia.com/
Accredible,San Francisco,https://www.accredible.com/
Impraise,Amsterdam,http://www.impraise.com/
Wheelys Café,San Francisco,http://www.wheelyscafe.com/
Matchmade,Helsinki,http://matchmade.tv/
Thread,London,https://www.thread.com/
Growbots,San Francisco,http://www.growbots.com/
Paperspace,Amsterdam,http://www.paperspace.com/
HyperScience,Sofia,http://hyperscience.com/
Framer,Amsterdam,http://framer.com/
Grabble,London,http://www.grabble.com/
Konsus,Palo Alto,http://www.konsus.com/
Storefront,Paris,http://www.thestorefront.com/
NationBuilder,London,http://nationbuilder.com/
Memrise,London,http://www.memrise.com/
Synthace,London,http://www.synthace.com/
Geckoboard,London,https://www.geckoboard.com/
Citymapper,London,http://citymapper.com/
onefinestay,London,http://www.onefinestay.com/
Fon,Madrid,http://fon.com/
Unity Technologies,San Francisco,http://unity3d.com/
Sidecar,Philadelphia,http://www.getsidecar.com/
Pusher,London,http://pusher.com/
Vungle,San Francisco,http://www.vungle.com/
CompStak,London,http://www.compstak.com/
Codeship,Boston,https://codeship.com/
Skimlinks,London,http://www.skimlinks.com/
Localytics,London,http://www.localytics.com/
Formlabs,Cambridge,http://formlabs.com/
Sketchfab,Paris,http://sketchfab.com/
The Ticket Fairy,London,https://www.theticketfairy.com/
Lyst,London,http://www.lyst.com/
DueDil,London,http://www.duedil.com/
OpenSignal,London,http://opensignal.com/
Brandwatch,Brighton,http://www.brandwatch.com/
EDITED,London,http://edited.com/
zeotap,Berlin,http://www.zeotap.com/
iwoca,London,http://www.iwoca.co.uk/
Orphidia,San Francisco,http://www.orphidia.com/
Pointy,Dublin,https://www.pointy.com/
MarketInvoice,London,http://www.marketinvoice.com/
Inboundlabs,Palo Alto,http://w.inboundlabs.co/
Yousician,Finland,https://company.yousician.com/
Badoo,London,http://team.badoo.com/
busuu,London,http://www.busuu.com/
Typeform,Barcelona,http://www.typeform.com/
BookingBug,London,http://bookingbug.com/
CoinJar,Melbourne,https://www.coinjar.com/
Mozio,San Francisco,http://www.mozio.com/
Ometria,London,http://www.ometria.com/
Fotolog,Barcelona,http://www.fotolog.com/
viagogo,London,http://www.viagogo.com/
DataCamp,Boston,https://www.datacamp.com/
Hugging Face,Paris,http://www.huggingface.co/
Nested,London,http://nested.com/
Party with a Local,Amsterdam,http://partywithalocal.com/
Ravelin,London,https://ravelin.com/
GrowthIntel,London,http://growthintel.com/
Paxos,London,http://www.paxos.com/
hull,Atlanta,http://hull.io/
GetSocial,Lisbon,http://www.getsocial.io/
Mention,Paris,https://mention.com/
Casengo,Amsterdam,http://www.casengo.com/
ContractRoom,San Mateo,http://www.contractroom.com/
Aire,London,http://aire.io/
Smarkets,London,https://smarkets.com/
Usabilla,Amsterdam,http://usabilla.com/
ROLI,London,https://www.roli.com/
Funding Options,London,https://www.fundingoptions.com/
Elliptic,London,http://elliptic.co/
Cuvva,London,https://cuvva.com/
Revolut,London,http://www.revolut.com/
Marvel,London,http://www.marvelapp.com/
Moo,London,http://www.moo.com/
Voxeet,San Francisco,http://www.voxeet.com/
8fit,Berlin,http://8fit.com/
Mimo,Berlin,https://getmimo.com/
carwow,London,http://www.carwow.co.uk/
MarcoPolo Learning,Frankfurt,http://www.gomarcopolo.com/
Formisimo,Manchester,http://www.formisimo.com/
Unamo,London,http://unamo.com/
Kisi,New York City,http://www.getkisi.com/
BridgeU,London,http://www.bridge-u.com/
Winnow,London,http://www.winnowsolutions.com/
Yachtico,Berlin,http://www.yachtico.com/
STREAMROOT,Paris,http://www.streamroot.io/
Mister Spex,Berlin,http://misterspex.de/
Usetrace,Helsinki,http://usetrace.com/?utm_source=angelco
Trussle,London,https://trussle.com/
Aircall,Paris,https://aircall.io/
Appear Here,London,http://www.appearhere.co.uk/
EDpuzzle,Mountain View,https://edpuzzle.com/
test IO,San Francisco,https://test.io/
MindMate (Techstars NYC'16),Glasgow,http://www.mindmate-app.com/
Lilt,Palo Alto,http://lilt.com/
Settled,London,http://www.settled.co.uk/
TravelPerk,Barcelona,http://www.travelperk.com/
Visiblee,Mountain View,http://www.visiblee.biz/
PandaDoc,San Francisco,http://www.pandadoc.com/
Lingokids,San Francisco,http://www.lingokids.com/
Socius,Oslo,http://www.sociuslive.com/
KUKIMI,Berlin,https://kukimi.de/
Thingthing,London,http://www.thingthing.co/
Tanaza,Milan,http://www.tanaza.com/
Land Technologies,London,http://landinsight.io/
Chrono24,Karlsruhe,https://www.chrono24.com/
Vivino,San Francisco,http://www.vivino.com/
SimpliField,Lille,http://www.simplifield.com/
Teleport,Lausanne,http://www.teleport.ninja/
Hubble,London,https://hubblehq.com/
idio,London,http://idioplatform.com/
Masabi,London,http://www.masabi.com/
Harri,London,http://www.harri.com/
Mentimeter,Stockholm,http://www.mentimeter.com/
MEDIGO,Berlin,http://www.medigo.com/
Elastera,London,http://www.elastera.com/
Poq,London,http://poqcommerce.com/
AppGyver,San Francisco,http://www.appgyver.com/
Brainly,Kraków,http://brainly.co/
Clue,Berlin,https://helloclue.com/
Swoon Editions,London,http://swooneditions.com/
Cashboard.de,Berlin,http://cashboard.de/
Much Better Adventures,London,http://www.muchbetteradventures.com/
Crowdcube,London,http://www.crowdcube.com/
Driftrock,London,https://www.driftrock.com/
PromoRepublic.com,Helsinki,http://promorepublic.com/
AYLIEN,Dublin,http://www.aylien.com/
Marley Spoon,Berlin,http://www.marleyspoon.com/
Drivy,Paris,http://www.drivy.com/
ChartMogul,Berlin,https://chartmogul.com/
Monzo,London,https://monzo.com/
DOJO Madness,Berlin,http://www.dojomadness.com/
Echobox,London,https://www.echobox.com/
Wheretoget,Paris,http://wheretoget.it/
Streetbees,London,http://www.streetbees.com/
PageFair,Dublin,http://pagefair.com/
Vint,San Francisco,https://www.joinvint.com/
LoyaltyLion,London,http://loyaltylion.com/
Depop,London,http://www.depop.com/
PastBook,Amsterdam,https://www.pastbook.com/
tCell.io,San Francisco,http://www.tcell.io/
Dojo App,London,http://dojoapp.co/
UNYQ,San Francisco,http://www.unyq.com/
Preply,Berlin,https://preply.com/
Onfido,San Francisco,https://onfido.com/
TheFamily,London,http://thefamily.co/
Mambu,Berlin,http://www.mambu.com/
Seedrs,London,https://www.seedrs.com/
WeddingWire,Barcelona,http://www.weddingwire.com/
Realm,San Francisco,http://realm.io/
Carhoots,London,http://www.carhoots.com/
MotionMetrics,London,http://www.motionmetrics.co/
tylko,Warsaw,http://tylko.com/
Viewsy,London,http://www.viewsy.com/
DICE,London,http://www.dice.fm/
CallPage,Kraków,http://www.callpage.io/
HOPSTOK,Roncade,https://hopstok.com/
Weengs,London,http://weengs.co.uk/
3D Hubs,Amsterdam,http://www.3dhubs.com/
inReception,Roncade,http://www.inreception.it/
Investly,Tallinn,https://investly.co/
Cortilia,Milan,http://www.cortilia.it/
Lost My Name,London,http://www.lostmy.name/
WeFitter,Barcelona,http://www.wefitter.com/
Jukedeck,London,http://www.jukedeck.com/
NoviCap,London,http://www.novicap.com/
